query,result,score
0090|0107|0049,0092|0032|0045,0.8982119572338051
0092|0032|0045,0090|0107|0049,0.8982119572338051
0047|0005|0014,0046|0005|0001,0.8981503502402635
0046|0005|0001,0047|0005|0014,0.8981503502402635
0092|0037|0003,0090|0112|0017,0.8981503502402635
0083|0034|0001,0093|0006|0003,0.8981503502402635
0068|0332|0000,0077|0005|0000,0.898000333150059
0083|0003|0017,0085|0003|0017,0.8978207684801853
0068|0322|0018,0069|0040|0006,0.897752847848028
0085|0003|0017,0083|0003|0017,0.897752847848028
0076|0015|0008,0075|0013|0007,0.897752847848028
0068|0322|0018,0069|0035|0006,0.897752847848028
0068|0131|0007,0069|0035|0050,0.897752847848028
0069|0040|0006,0068|0322|0018,0.897752847848028
0069|0030|0000,0068|0322|0020,0.897752847848028
0069|0035|0006,0068|0322|0018,0.897752847848028
0068|0322|0020,0069|0030|0000,0.897752847848028
0090|0105|0004,0092|0029|0023,0.8975702943025772
0092|0029|0023,0090|0105|0004,0.8975702943025772
0089|0043|0017,0091|0017|0030,0.897542644933385
0091|0017|0030,0089|0043|0017,0.897542644933385
0092|0025|0002,0090|0100|0033,0.897542644933385
0068|0397|0018,0069|0055|0004,0.8974761760453295
0048|0031|0017,0046|0035|0018,0.8974761760453295
0047|0028|0023,0046|0033|0019,0.8974616751168997
0046|0033|0019,0047|0028|0023,0.8974616751168997
0096|0011|0002,0094|0011|0002,0.8970476466876744
0094|0011|0002,0096|0011|0002,0.8970476466876744
0090|0020|0016,0092|0011|0014,0.896793829503198
0092|0011|0014,0090|0020|0016,0.896793829503198
0046|0035|0018,0048|0031|0017,0.8967769720010146
0069|0055|0004,0068|0397|0018,0.8967769720010146
0090|0100|0033,0092|0025|0002,0.8967769720010146
0094|0011|0004,0095|0014|0004,0.8966773400768917
0091|0035|0019,0076|0065|0023,0.8966773400768917
0095|0014|0004,0094|0011|0004,0.8966773400768917
0076|0065|0023,0091|0035|0019,0.8966773400768917
0063|0009|0007,0046|0034|0021,0.896657747227912
0046|0034|0021,0063|0009|0007,0.896657747227912
0046|0035|0020,0063|0005|0019,0.8966376838926321
0076|0060|0004,0091|0029|0003,0.8966376838926321
0087|0016|0049,0091|0016|0043,0.8966376838926321
0068|0361|0015,0067|0179|0015,0.8966376838926321
0091|0016|0043,0087|0016|0049,0.8966376838926321
0075|0042|0006,0087|0027|0005,0.8964173245779284
0047|0024|0007,0048|0029|0028,0.8964173245779284
0048|0029|0028,0047|0024|0007,0.8964173245779284
0076|0043|0006,0091|0026|0005,0.8964173245779284
0091|0026|0005,0076|0043|0006,0.8964173245779284
0087|0027|0005,0075|0042|0006,0.8964173245779284
0062|0007|0008,0061|0012|0001,0.8963255530218961
0061|0012|0001,0062|0007|0008,0.8963255530218961
0092|0024|0015,0090|0100|0006,0.8960110606154549
0063|0005|0019,0046|0035|0020,0.8960110606154549
0048|0036|0006,0047|0030|0015,0.8960110606154549
0076|0069|0017,0091|0038|0009,0.8960110606154549
0091|0038|0009,0076|0069|0017,0.8960110606154549
0090|0023|0015,0092|0014|0022,0.8960110606154549
0090|0100|0006,0092|0024|0015,0.8960110606154549
0047|0030|0015,0048|0036|0006,0.8960110606154549
0092|0014|0022,0090|0023|0015,0.8960110606154549
0091|0029|0003,0076|0060|0004,0.8960110606154549
0067|0179|0015,0068|0361|0015,0.8960110606154549
0090|0099|0009,0092|0023|0019,0.8958595874416149
0087|0007|0009,0091|0007|0023,0.8958595874416149
0092|0023|0019,0090|0099|0009,0.8958595874416149
0067|0149|0020,0077|0005|0031,0.8957567894376306
0077|0005|0031,0067|0149|0020,0.8957567894376306
0068|0068|0002,0069|0037|0004,0.8957362987619142
0068|0350|0020,0067|0168|0019,0.8953711787948615
0046|0029|0003,0063|0003|0019,0.8953711787948615
0046|0029|0004,0048|0029|0020,0.8953711787948615
0069|0029|0042,0068|0322|0008,0.8953711787948615
0092|0027|0001,0090|0102|0023,0.8953711787948615
0090|0102|0023,0092|0027|0001,0.8953711787948615
0048|0029|0020,0046|0029|0004,0.8953711787948615
0063|0003|0019,0046|0029|0003,0.8953711787948615
0091|0007|0023,0087|0007|0009,0.8953711787948615
0067|0168|0019,0068|0350|0020,0.8953711787948615
0068|0322|0008,0069|0029|0042,0.8953711787948615
0094|0007|0009,0096|0007|0016,0.8953132021812428
0096|0007|0016,0094|0007|0009,0.8953132021812428
0069|0037|0004,0068|0068|0002,0.8952905649579331
0067|0179|0007,0068|0361|0007,0.8951127300181728
0075|0059|0014,0087|0030|0014,0.8950608647576735
0087|0030|0014,0075|0059|0014,0.8950608647576735
0091|0033|0009,0076|0068|0004,0.8948393168143697
0076|0068|0004,0091|0033|0009,0.8948393168143697
0076|0040|0001,0091|0022|0001,0.8948358645279881
0091|0022|0001,0076|0040|0001,0.8948358645279881
0069|0029|0023,0068|0129|0016,0.8947757500270732
0068|0129|0016,0069|0029|0023,0.8947757500270732
