max_pair_list,max_score_list
0003|0001|0017 ~ 0004|0001|0015,0.4186731164673817
0003|0001|0014 ~ 0005|0001|0008,0.3716538786266727
0003|0001|0014 ~ 0006|0001|0005,0.3624381389889261
0004|0001|0015 ~ 0001|0001|0020,0.5670530725396635
0004|0001|0015 ~ 0003|0001|0017,0.4183954028764231
0004|0001|0014 ~ 0006|0001|0006,0.4588189697480072
0005|0001|0000 ~ 0001|0001|0004,0.3085161074315964
0005|0001|0002 ~ 0003|0001|0008,0.4836261769781618
0005|0001|0005 ~ 0004|0001|0009,0.4958291158709609
0005|0001|0005 ~ 0006|0001|0003,0.5199484916965815
0006|0001|0006 ~ 0000|0002|0002,0.5289403442324002
0006|0001|0000 ~ 0001|0001|0004,0.3082335259047881
0006|0001|0006 ~ 0001|0001|0016,0.4733381047638562
0006|0001|0006 ~ 0002|0002|0005,0.4235307019759665
0006|0001|0001 ~ 0003|0001|0009,0.4078969665951087
0006|0001|0002 ~ 0004|0001|0009,0.5058632933153563
0006|0001|0003 ~ 0005|0001|0005,0.5196568798695027
0009|0002|0009 ~ 0010|0002|0017,0.4077495133683773
0009|0002|0014 ~ 0010|0002|0005,0.4604787261210532
0009|0005|0001 ~ 0010|0002|0014,0.3667873105019023
0009|0006|0000 ~ 0010|0003|0008,0.3392486670407026
0010|0002|0001 ~ 0009|0002|0009,0.4758214857025976
0010|0002|0014 ~ 0009|0005|0001,0.3670186871336854
0012|0003|0002 ~ 0002|0002|0008,0.6680272227416626
0012|0004|0014 ~ 0002|0003|0007,0.3964788750720168
0012|0004|0019 ~ 0002|0003|0016,0.3261868914884961
0012|0005|0003 ~ 0002|0003|0008,0.4903528474520459
0012|0005|0001 ~ 0002|0003|0014,0.4067434794181572
0012|0007|0002 ~ 0002|0008|0004,0.8938510701271204
0012|0007|0020 ~ 0002|0008|0023,0.791537399130509
0012|0007|0003 ~ 0022|0012|0006,0.828399516355805
0012|0007|0020 ~ 0022|0012|0023,0.791537399130509
0012|0007|0014 ~ 0044|0022|0017,0.6472817206810538
0012|0007|0020 ~ 0045|0028|0006,0.6810918846233903
0012|0007|0014 ~ 0046|0022|0034,0.4642563978104788
0012|0007|0020 ~ 0046|0023|0001,0.6810918846233903
0012|0007|0014 ~ 0047|0028|0009,0.5772870844806973
0012|0007|0020 ~ 0047|0028|0016,0.6793350629039757
